School,Year,Source,Target
College of Arts and Sciences,Class of 2020,70,Village_Dining
College of Arts and Sciences,Class of 2020,Bio_Psych,70
College of Arts and Sciences,Class of 2020,Chemistry,70
College of Arts and Sciences,Class of 2020,Engineering_Quad,70
College of Arts and Sciences,Class of 2020,Brookings_Quad,70
College of Arts and Sciences,Class of 2020,70,DUC
College of Arts and Sciences,Class of 2020,70,Loop_Dining
College of Arts and Sciences,Class of 2020,70,Village_Dining
College of Arts and Sciences,Class of 2020,Brown_School,70
College of Arts and Sciences,Class of 2020,Sam_Fox,70
College of Arts and Sciences,Class of 2020,Northest_Corner,70
College of Arts and Sciences,Class of 2020,South_40,71
College of Arts and Sciences,Class of 2020,71,BD
College of Arts and Sciences,Class of 2020,Village,71
College of Arts and Sciences,Class of 2020,71,Village_Dining
College of Arts and Sciences,Class of 2020,AC_Frat_Row,71
College of Arts and Sciences,Class of 2020,71,BD
College of Arts and Sciences,Class of 2020,71,DUC
College of Arts and Sciences,Class of 2020,Bauer_Law_School,71
College of Arts and Sciences,Class of 2020,71,BD
College of Arts and Sciences,Class of 2020,71,DUC
College of Arts and Sciences,Class of 2020,DUC_Area,71
College of Arts and Sciences,Class of 2020,71,DUC
College of Arts and Sciences,Class of 2020,Bio_Psych,71
College of Arts and Sciences,Class of 2020,71,DUC
College of Arts and Sciences,Class of 2020,Chemistry,71
College of Arts and Sciences,Class of 2020,71,DUC
College of Arts and Sciences,Class of 2020,Engineering_Quad,71
College of Arts and Sciences,Class of 2020,71,DUC
College of Arts and Sciences,Class of 2020,Brookings_Quad,71
College of Arts and Sciences,Class of 2020,71,DUC
College of Arts and Sciences,Class of 2020,Brown_School,71
College of Arts and Sciences,Class of 2020,71,DUC
College of Arts and Sciences,Class of 2020,Sam_Fox,71
College of Arts and Sciences,Class of 2020,Northest_Corner,71
College of Arts and Sciences,Class of 2022,South_40,72
College of Arts and Sciences,Class of 2022,72,BD
College of Arts and Sciences,Class of 2022,Village,72
College of Arts and Sciences,Class of 2022,72,Law_School_Cafeteria
College of Arts and Sciences,Class of 2022,72,Village_Dining
College of Arts and Sciences,Class of 2022,AC_Frat_Row,72
College of Arts and Sciences,Class of 2022,72,Law_School_Cafeteria
College of Arts and Sciences,Class of 2022,Bauer_Law_School,72
College of Arts and Sciences,Class of 2022,72,Bauer_Hall_Cafe
College of Arts and Sciences,Class of 2022,72,Law_School_Cafeteria
College of Arts and Sciences,Class of 2022,DUC_Area,72
College of Arts and Sciences,Class of 2022,72,Einsteins
College of Arts and Sciences,Class of 2022,72,Law_School_Cafeteria
College of Arts and Sciences,Class of 2022,72,Village_Dining
College of Arts and Sciences,Class of 2022,Bio_Psych,72
College of Arts and Sciences,Class of 2022,72,Holmes
College of Arts and Sciences,Class of 2022,72,Law_School_Cafeteria
College of Arts and Sciences,Class of 2022,72,Stanleys
